jobId,title,companyName,companySize,industry,companyType,salaryMin,salaryMax,city,province,cityTier,education,experience,skills,welfare,publishDate,sourceUrl
SYN-000001,C++开发工程师,商汤科技,1000-2000人,互联网/内容,民营,8,16,郑州,河南,新一线,硕士,1-3年,Express|GraphQL|GitLab CI|Linux|JavaScript|MongoDB|Matplotlib|RabbitMQ,年度体检|定期调薪,2025-10-11,https://synthetic.dataset/SYN-000001
SYN-000002,质量管理工程师,紫光展锐,1000-2000人,芯片设计,民营,12,27,福州,福建,二线,本科,5-10年,Kotlin|Go|Confluence|NoSQL|NLP|MyBatis|Shell,定期调薪|技术培训|住房补贴|带薪年假|绩效奖金,2026-04-11,https://synthetic.dataset/SYN-000002
SYN-000003,数据库管理员(DBA),拼多多,5000-10000人,互联网/电商,上市公司,6,10,西安,陕西,新一线,硕士,不限,GraphQL|NLTK|Confluence|Kubernetes|Grafana|腾讯云|Shell,补充商业保险|技术培训|带薪年假,2026-03-16,https://synthetic.dataset/SYN-000003
SYN-000004,区块链开发工程师,知乎,1000-2000人,互联网/内容,上市公司,3,6,深圳,广东,一线,硕士,3-5年,Python|Kotlin|敏捷开发,五险一金|餐补|生育礼金,2026-04-01,https://synthetic.dataset/SYN-000004
SYN-000005,测试开发工程师,旷视科技,500-1000人,人工智能,民营,40,84,郑州,河南,新一线,本科,不限,C++|Matplotlib|Nginx,团建活动|健身房|住房补贴|技术培训|生育礼金,2026-01-20,https://synthetic.dataset/SYN-000005
SYN-000006,产品经理,携程,5000-10000人,互联网/旅游,上市公司,10,14,武汉,湖北,新一线,硕士,3-5年,Java|Angular,股票期权|零食不限量,2025-08-09,https://synthetic.dataset/SYN-000006
SYN-000007,算法工程师,滴滴出行,2000-5000人,互联网/出行,合资,5,11,成都,四川,新一线,本科,1年以内,Shell|Confluence|JIRA,交通补贴|带薪年假,2026-02-09,https://synthetic.dataset/SYN-000007
SYN-000008,Android开发工程师,三一重工,5000-10000人,制造业/重工,上市公司,17,33,武汉,湖北,新一线,本科,5-10年,Spark SQL|Python|MySQL|Kubernetes|PyTorch|GitLab CI|Tomcat|机器学习,绩效奖金|生育礼金,2025-10-18,https://synthetic.dataset/SYN-000008
SYN-000009,测试开发工程师,长江存储,2000-5000人,芯片制造,民营,19,42,长沙,湖南,新一线,本科,5-10年,C++|Linux|Git|Matplotlib|TypeScript|Django,技术培训|弹性工作制|交通补贴,2026-03-20,https://synthetic.dataset/SYN-000009
SYN-000010,数据库管理员(DBA),大疆创新,2000-5000人,智能硬件/无人机,民营,7,16,重庆,重庆,新一线,博士,5-10年,深度学习|Tomcat,带薪年假|绩效奖金,2026-02-20,https://synthetic.dataset/SYN-000010
SYN-000011,大数据开发工程师,旷视科技,500-1000人,人工智能,民营,5,12,深圳,广东,一线,大专,3年及以下,NLTK|Shell|Kafka|Go,住房补贴|绩效奖金|出国机会|餐补|生育礼金|带薪年假,2026-06-21,https://synthetic.dataset/SYN-000011
SYN-000012,Rust开发工程师,中兴通讯,5000-10000人,通信设备,上市公司,34,72,西安,陕西,新一线,硕士,1-3年,JUnit|GitLab CI|Linux|Shell,带薪年假|住房补贴|出国机会|项目奖金,2026-04-10,https://synthetic.dataset/SYN-000012
SYN-000013,风控算法工程师,科大讯飞,2000-5000人,人工智能/语音,上市公司,9,18,成都,四川,新一线,硕士,1年以内,Python|JUnit,零食不限量|补充商业保险|绩效奖金,2025-07-27,https://synthetic.dataset/SYN-000013
SYN-000014,Rust开发工程师,海信集团,5000-10000人,家电制造,民营,7,11,苏州,江苏,新一线,本科,1-3年,Docker|Jenkins,扁平化管理|五险一金|年度体检,2026-07-03,https://synthetic.dataset/SYN-000014
SYN-000015,技术支持工程师,快手,5000-10000人,互联网/短视频,上市公司,1,8,南京,江苏,新一线,硕士,不限,Cypress|TypeScript|TensorFlow|计算机视觉|Spring Boot|Hive|HBase|React Native,零食不限量|年终奖|出国机会,2025-07-19,https://synthetic.dataset/SYN-000015
